inputs,label
"[3.53210143 0.         0.80971653 0.8307005  6.49304894 5.38497948
 2.96888965 2.27954432 0.24179279 0.98374302 1.00856579 4.23180407]",1
"[ 0.32666559 10.04033827 10.37041961  4.26936793  2.04949848  0.72065765
  0.71183679  1.32194229  0.          1.22553581  6.78107813  8.96103348]",1
"[0.62886055 2.24864483 1.97673514 0.99305589 1.53633721 0.94044634
 2.23563375 1.43145751 0.         0.20904208 5.63114326 0.20526275]",1
"[2.73902226 1.11731018 0.16439151 2.47997093 3.47733905 0.72692214
 0.82055203 0.66684306 0.         0.20904208 1.34470375 4.67561663]",1
"[4.18116248 3.10008525 3.29448287 2.65278057 4.14437321 2.03687873
 0.82055203 1.41421356 0.         0.20904208 2.0391997  3.72576144]",1
"[6.28458196 3.10008525 2.13508223 0.41783879 4.9908894  2.58075218
 0.4940467  0.01767491 0.         0.         1.2490185  2.96426405]",1
"[6.28458196 3.10008525 2.13508223 0.41783879 4.9908894  2.58075218
 0.4940467  0.01767491 0.         0.         1.2490185  2.96426405]",1
"[4.9122095  2.40699192 1.97673514 4.79831371 4.09267211 0.27573598
 3.42978322 3.49312446 0.         0.74651249 0.19969396 5.13637905]",1
"[0.67303077 2.24864483 1.97673514 2.47997093 0.0928317  0.57644145
 0.82055203 1.3960856  0.95555457 0.74651249 2.17015413 1.55560732]",1
"[5.5673107  3.23764795 2.31150824 1.16910112 0.0928317  1.50328209
 2.65386306 3.53082007 1.19734736 0.98830528 1.40865673 2.31482531]",1
"[ 9.42607772 13.27798622 13.49164439  2.26956631  4.35071877  3.16103974
  1.02686339  0.07066654  0.95555457  0.74651249  4.36385561  2.41440409]",1
"[2.11016171 1.13133464 1.81234363 3.47302682 1.94100184 0.2135242
 3.05618577 2.09830056 0.         0.         4.28643951 4.47035388]",1
"[3.55230192 0.85144043 1.31774774 3.64583646 2.60803599 1.09643239
 3.05618577 2.84567107 0.         0.         3.59194356 3.52049869]",1
"[5.65572141 0.85144043 0.15834709 1.41089468 3.45455219 1.64030584
 1.74158704 1.4137826  0.         0.20904208 4.38212476 2.7590013 ]",1
"[5.65572141 0.85144043 0.15834709 1.41089468 3.45455219 1.64030584
 1.74158704 1.4137826  0.         0.20904208 4.38212476 2.7590013 ]",1
"[4.28334894 0.15834709 0.         5.7913696  2.5563349  1.21618231
 5.66541697 4.92458196 0.         0.95555457 5.43144931 4.93111629]",1
"[0.04417022 0.         0.         3.47302682 1.62916891 1.51688778
 3.05618577 2.8275431  0.95555457 0.95555457 3.46098914 1.35034457]",1
"[4.93845015 0.98900312 0.33477311 2.16215701 1.62916891 2.44372843
 4.88949681 4.96227758 1.19734736 1.19734736 4.22248653 2.10956256]",1
"[ 8.79721717 11.0293414  11.51490925  1.27651042  2.81438155  2.2205934
  1.20877036  1.36079097  0.95555457  0.95555457  9.99499887  2.61966685]",1
"[1.44214022 1.98277507 3.13009137 0.17280965 0.66703415 1.30995659
 0.         0.7473705  0.         0.         0.69449595 0.94985519]",1
"[3.5455597  1.98277507 1.97069072 2.06213213 1.51355035 1.85383004
 1.31459873 0.68451797 0.         0.20904208 0.09568525 1.71135258]",1
"[3.5455597  1.98277507 1.97069072 2.06213213 1.51355035 1.85383004
 1.31459873 0.68451797 0.         0.20904208 0.09568525 1.71135258]",1
"[2.17318724 1.28968173 1.81234363 2.31834278 0.61533306 1.00265812
 2.60923119 2.8262814  0.         0.95555457 1.14500979 0.46076241]",1
"[2.06599149 1.13133464 1.81234363 0.         3.57017075 1.30336359
 0.         0.72924254 0.95555457 0.95555457 0.82545038 3.12000931]",1
"[2.82828845 2.12033777 2.14711674 1.31086981 3.57017075 2.23020423
 1.83331103 2.86397701 1.19734736 1.19734736 0.06395298 2.36079132]",1
"[ 6.68705546 12.16067604 13.32725288  4.74953724  0.87337971  2.4341176
  1.84741541  0.7375096   0.95555457  0.95555457  5.70855936  7.09002073]",1
"[2.10341948 0.         1.15940065 2.23494178 0.8465162  0.54387345
 1.31459873 1.43188847 0.         0.20904208 0.79018121 0.7614974 ]",1
"[2.10341948 0.         1.15940065 2.23494178 0.8465162  0.54387345
 1.31459873 1.43188847 0.         0.20904208 0.79018121 0.7614974 ]",1
"[0.73104702 0.69309334 1.31774774 2.14553314 0.05170109 2.31261471
 2.60923119 2.07891089 0.         0.95555457 1.83950575 1.4106176 ]",1
"[3.50813171 0.85144043 1.31774774 0.17280965 4.23720491 2.61332018
 0.         0.01812796 0.95555457 0.95555457 0.13095442 2.17015413]",1
"[1.38614823 0.1375627  0.98297463 1.48367946 4.23720491 3.54016082
 1.83331103 2.11660651 1.19734736 1.19734736 0.63054297 1.41093613]",1
"[ 5.24491524 10.17790097 10.19716151  4.92234688  0.20634556  1.12416101
  1.84741541  1.4848801   0.95555457  0.95555457  6.40305532  6.14016554]",1
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1
"[1.37237246 0.69309334 0.15834709 4.38047492 0.89821729 2.85648816
 3.92382992 3.51079936 0.         0.74651249 1.04932454 2.172115  ]",1
"[5.61155119 0.85144043 0.15834709 2.06213213 5.0837211  3.15719363
 1.31459873 1.41376051 0.95555457 0.74651249 0.92113563 1.40865673]",1
"[0.71727126 0.1375627  0.17642602 0.75126232 5.0837211  4.08403427
 3.14790976 3.54849498 1.19734736 0.98830528 0.15963823 0.64943873]",1
"[ 3.14149576 10.17790097 11.35656216  2.6874051   0.64017064  0.58028756
  0.53281668  0.05299163  0.95555457  0.74651249  5.61287411  5.37866814]",1
"[1.37237246 0.69309334 0.15834709 4.38047492 0.89821729 2.85648816
 3.92382992 3.51079936 0.         0.74651249 1.04932454 2.172115  ]",1
"[5.61155119 0.85144043 0.15834709 2.06213213 5.0837211  3.15719363
 1.31459873 1.41376051 0.95555457 0.74651249 0.92113563 1.40865673]",1
"[0.71727126 0.1375627  0.17642602 0.75126232 5.0837211  4.08403427
 3.14790976 3.54849498 1.19734736 0.98830528 0.15963823 0.64943873]",1
"[ 3.14149576 10.17790097 11.35656216  2.6874051   0.64017064  0.58028756
  0.53281668  0.05299163  0.95555457  0.74651249  5.61287411  5.37866814]",1
"[4.23917872 0.15834709 0.         2.31834278 4.18550381 0.30070547
 2.60923119 2.09703886 0.95555457 0.         1.97046017 3.58077173]",1
"[0.65510121 0.83065603 0.33477311 3.6292126  4.18550381 1.22754611
 0.77592016 0.03769561 1.19734736 0.24179279 1.20896278 2.82155373]",1
"[ 4.51386822 10.87099431 11.51490925  7.06788002  0.25804665  3.43677572
  4.45664661  3.563791    0.95555457  0.          4.56354957  7.55078314]",1
"[4.89427993 0.98900312 0.33477311 1.31086981 0.         0.92684064
 1.83331103 2.13473447 0.24179279 0.24179279 0.7614974  0.759218  ]",1
"[ 8.75304695 11.0293414  11.51490925  4.74953724  4.44355047  3.73748119
  1.84741541  1.46675214  0.          0.          6.53400974  3.97001141]",1
"[ 3.85876702 10.04033827 11.18013614  3.43866743  4.44355047  4.66432183
  3.68072644  3.60148661  0.24179279  0.24179279  5.77251234  4.72922941]",1
"[1.32672316 0.98469457 2.25427718 0.63741506 1.3010845  0.17592395
 0.93774118 0.64551901 0.95555457 0.         3.07210315 0.56811687]",1
"[0.73926833 0.80041289 3.36198188 0.50034094 0.88629528 1.87818752
 1.9492571  2.18772817 0.95555457 1.73770243 1.20620729 0.90780881]",1
"[0.         0.164393   0.98837088 2.27454725 3.07204212 2.22439138
 1.88343024 0.93400737 1.29121779 1.29121779 2.82960724 2.22020151]",1
