inputs,label
"[0.50198909 4.01244711 4.32403156 1.00137538 2.10392191 1.25478588
 1.24033902 0.29074549 0.44578709 0.61483519 2.27716761 2.75869777]",1
"[5.7669508  6.28908101 5.16492994 2.21940275 2.7766079  2.4852601
 1.24033902 3.85849432 0.28614529 1.32303913 4.56367799 0.74302687]",1
"[3.59109379 0.41913346 0.86602974 2.4072151  3.6178441  1.92096721
 2.11379878 3.5453422  0.69759772 0.44578709 2.39039569 4.64434817]",1
"[ 3.16437424  2.00542998  0.13300547 11.48516047  2.320139    0.60050208
  5.22368882  8.99430834  0.          0.91302885  0.34572557  4.13063796]",1
"[ 5.36836262 10.66324603 12.52872419 20.00526509  2.92893503  5.58664148
 11.14314177 15.4097593   0.28614529  0.93939051  2.57278156 11.37410902]",1
"[8.23309438 1.9479904  0.0994977  1.56629268 5.6559145  5.64599062
 0.54597483 2.3171711  0.28614529 0.         3.1999078  2.08852266]",1
"[6.62394598 2.93201047 0.26640485 6.38359321 5.05105045 1.30226766
 3.47357922 5.84671301 0.91302885 0.93939051 9.18156502 8.90295782]",1
"[7.07959682 4.62514323 3.07042145 7.91969998 4.8335586  6.42049926
 4.95726903 3.56122433 0.38516481 0.91302885 0.81226379 0.25287344]",1
"[6.61340154 1.83233505 0.52815154 4.29547877 2.67404371 1.86535577
 3.00759764 4.52364428 0.         0.93939051 1.60960273 1.64137668]",1
"[0.22252816 4.32990058 3.40423084 4.24113058 0.107988   0.34670355
 2.22675542 4.0084657  0.28614529 0.         6.72130522 1.05021238]",1
"[2.69039407 0.76911893 0.99615753 1.83957548 4.24208765 1.33873692
 0.13509826 0.05078368 0.69759772 1.26205918 2.49413686 4.98575862]",1
"[3.78764624 2.920161   3.16552492 2.33216963 2.7766079  2.4852601
 0.25669527 2.2091831  0.93939051 1.32303913 3.38931519 1.85619938]",1
"[14.03702434  3.07446461  0.53439942  3.98679456 11.49285917  9.12037291
  1.84090334  2.7937747   1.26205918  0.69759772  1.94090618  5.21516282]",1
"[9.4388181  7.90646856 6.70665987 7.74568055 6.34168006 6.58157416
 6.67087977 5.43754549 1.26205918 0.28614529 3.8948267  2.59342926]",1
"[4.83336594 2.04073823 1.1319969  0.38144013 2.7766079  2.67359037
 0.68389908 0.90316775 0.38516481 0.91302885 6.05555148 0.83199202]",1
"[2.18574684 1.9479904  2.17742799 1.07828818 3.5516336  1.33873692
 2.45159632 3.63836551 0.69759772 0.         1.06787617 2.45278632]",1
"[7.36797679 1.19029142 0.92029429 1.56629268 5.32474264 4.3551328
 0.13564956 1.62844807 0.91302885 0.         4.1646545  2.31878377]",1
"[0.7735284  0.85016945 0.0994977  2.33216963 0.71309878 0.
 0.96372248 2.47266219 0.28614529 0.         2.77980358 0.42297186]",1
"[10.89771512  7.26707023  4.06781841  1.47096371  6.89714256  5.02746838
  0.93055143  1.19976002  0.28614529  0.          8.60172293  1.64137668]",1
"[3.23348116 0.92140104 2.58238775 5.37142673 1.41400335 0.89733105
 1.74417109 3.87004903 0.91302885 0.69759772 3.8948267  2.39508861]",1
"[13.54011088  1.93641093  1.77999954  7.24942652 11.36083919  7.2721953
  0.          4.0084657   0.91302885  0.38516481  3.31808812  5.30103859]",1
"[4.51935073 3.14587297 2.13094149 9.27664658 2.02642561 1.54458231
 2.81397248 6.99231004 0.28614529 0.93939051 6.60861742 7.16240395]",1
"[9.24804498 3.2101272  2.86422061 4.53938668 7.10093037 4.76624085
 2.88324346 3.13597378 0.69759772 0.38516481 0.42637347 4.00428764]",1
"[7.63659331 3.01505015 0.53439942 3.27199462 4.50970396 4.02453806
 0.75845972 3.04184956 0.91302885 0.93939051 3.8948267  1.64137668]",1
"[10.85137858  0.83887704  3.6590338   5.9193553   5.92026451  2.65785355
  3.00759764  5.8688047   1.26205918  0.93939051  0.24701928  6.56009177]",1
"[0.29690897 5.80285019 5.1524358  4.96394657 0.91271912 1.19681044
 2.87708738 3.00757154 1.32303913 0.         1.29680903 4.98575862]",1
"[9.74385053 3.91874265 6.90903858 7.66048199 7.77218259 6.26791416
 6.07766623 6.6896013  0.93939051 0.44578709 0.8257477  6.04922707]",1
"[9.99159325 4.51417568 3.16552492 2.09486452 4.9285531  3.42222588
 0.66854533 0.59187901 0.69759772 0.44578709 1.94090618 2.54703668]",1
"[7.34655422 4.12205669 4.56954698 0.         5.48995023 4.70621322
 1.85683062 0.29074549 0.91302885 0.         6.38535485 1.77829035]",1
"[ 6.01619553  8.776493    8.92829007 14.03959282  2.81513917  4.02453806
  7.29929674 10.20195726  0.38516481  1.26205918  0.37148067  3.23819276]",1
"[4.10074307 4.01244711 8.12341337 9.05054313 2.96251385 1.42320268
 6.9356474  8.34367186 0.         2.22288715 4.37924887 6.82433452]",1
"[1.40664076 1.05152883 1.66272572 1.35310529 2.68191453 1.29678605
 0.54597483 0.51082031 0.44578709 0.28614529 1.19938572 0.31237106]",1
"[6.65559338 7.46571592 6.12617961 0.15683278 2.52070052 1.54458231
 1.24033902 1.64063051 1.26205918 0.93939051 8.01189176 2.22041323]",1
"[4.75923404 1.71809702 1.21222603 1.76592219 3.52954191 3.15154154
 1.47156964 2.26921098 0.93939051 0.         3.90649329 3.04506884]",1
"[ 7.36797679 11.58103703 10.04909185  2.01302708  3.30654667  2.4852601
  0.66854533  0.25294304  0.28614529  0.          8.79261188  4.98575862]",1
"[4.996225   7.04319116 5.16492994 1.11165148 2.10206658 1.74278527
 0.25669527 1.08879247 0.93939051 0.44578709 4.41311123 2.75869777]",1
"[ 1.40664076  1.01990255  3.41620196 11.11926784  0.72467846  4.90870459
 10.8808605   9.87847487  0.44578709  1.38516481  5.41975655  4.60677806]",1
"[5.93297046 4.07330519 3.74072928 1.72766791 2.52070052 2.15832593
 1.0390559  0.90316775 0.         0.28614529 1.78569423 2.39508861]",1
"[1.53940535 7.10890107 6.90210957 8.91942324 0.324809   2.4852601
 5.01035185 6.16658071 0.         0.38516481 0.88511005 4.43723304]",1
"[4.37530312 1.12205669 2.16580166 1.35310529 5.14687449 3.50898121
 1.24033902 0.         0.44578709 0.28614529 1.83569827 9.43151578]",1
"[4.65709802 4.60045751 2.98738177 6.2088522  2.87291415 3.13823774
 4.61344618 6.24272785 0.93939051 0.         4.69002831 7.30077553]",1
"[19.38157744 17.95590128 19.21591802 20.93132631 14.13906364 13.82282259
 14.45324605 15.20068412  2.22288715  2.22288715  5.624817    6.88315814]",1
"[5.20056256 5.49883118 4.56954698 2.13583472 3.43691265 3.42222588
 2.22541544 0.35687261 0.28614529 0.28614529 4.56367799 1.92200868]",1
"[ 8.93122162  4.2439235   5.35968708 13.95318648  8.87115047  6.57384259
  7.98951598  9.98823515  1.01795943  1.685903    5.09990332  4.46588363]",1
"[4.75923404 1.26759733 0.92029429 3.50770351 3.5516336  2.23589093
 0.96151549 2.39460994 0.         0.28614529 1.75939343 0.59431418]",1
